# id	left	top	right	bottom	texture_id
[SPRITES]
#RED
20041	919	137	934	152	10
20042	936	137	951	152	10
20043	953	137	968	152	10
20044	919	154	934	169	10
20045	936	154	951	169	10
20046	953	154	968	169	10
20047	919	171	934	186	10
20048	936	171	951	186	10
20049	953	171	968	186	10

#BLUE
20051	970	137	985	152	10
20052	987	137	1002	152	10
20053	1004	137	1019	152	10
20054	970	154	985	169	10
20055	987	154	1002	169	10
20056	1004	154	1019	169	10
20057	970	171	985	186	10
20058	987	171	1002	186	10
20059	1004	171	1019	186	10

#GREEN
20061	919	188	934	203	10
20062	936	188	951	203	10
20063	953	188	968	203	10
20064	919	205	934	220	10
20065	936	205	951	220	10
20066	953	205	968	220	10
20067	919	222	934	237	10
20068	936	222	951	237	10
20069	953	222	968	237	10

#WHITE
20071	970	188	985	203	10
20072	987	188	1002	203	10
20073	1004	188	1019	203	10
20074	970	205	985	220	10
20075	987	205	1002	220	10
20076	1004	205	1019	220	10
20077	970	222	985	237	10
20078	987	222	1002	237	10
20079	1004	222	1019	237	10

#ORANGE
20081	919	239	934	254	10
20082	936	239	951	254	10
20083	953	239	968	254	10
20084	919	256	934	271	10
20085	936	256	951	271	10
20086	953	256	968	271	10
20087	919	273	934	288	10
20088	936	273	951	288	10
20089	953	273	968	288	10

#SHADOW
20091	1055	239	1070	254	10
20092	1055	256	1070	271	10
20093	1021	273	1036	288	10
20094	1038	273	1053	288	10
20095	1055	273	1070	288	10

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#10000	20001	1000
